Close,High,Low,Open,Volume
1087.689941,1090.160034,1055.900024,1067.26001,5452130000
1073.650024,1089.949951,1072.699951,1084.780029,5224040000
1074.030029,1074.75,1040.780029,1067.420044,7329580000
1067.949951,1090.75,1065.589966,1075.51001,4521050000
1103.060059,1103.52002,1074.27002,1074.27002,5698460000
1089.410034,1102.589966,1084.780029,1102.589966,4871210000
1070.709961,1094.77002,1069.890015,1087.300049,5271480000
1098.380005,1098.560059,1072.030029,1073.01001,5026360000
1102.829956,1105.670044,1091.810059,1098.819946,4995970000
1064.880005,1098.430054,1060.5,1098.430054,6180580000
1050.469971,1071.359985,1049.859985,1065.839966,5467560000
1062,1063.150024,1042.170044,1050.810059,6192750000
1055.689941,1077.73999,1052.25,1062.75,5983200000
1086.839966,1087.849976,1058.77002,1058.77002,5144780000
1091.599976,1092.25,1077.119995,1082.650024,4059280000
1089.630005,1105.910034,1089.030029,1095,4425830000
1115.22998,1115.589966,1091.209961,1091.209961,4644490000
1114.609985,1118.73999,1107.130005,1114.02002,5002600000
1116.040039,1117.719971,1105.869995,1115.97998,4557760000
1117.51001,1121.01001,1113.930054,1116.160034,4555360000
1113.199951,1131.22998,1108.23999,1122.790039,4514360000
1095.310059,1118.5,1094.180054,1113.900024,4514380000
1092.040039,1099.640015,1085.310059,1095.569946,4526150000
1073.689941,1090.930054,1071.599976,1090.930054,4814830000
1076.76001,1083.560059,1067.890015,1075.099976,5128840000
1074.569946,1082.599976,1071.449951,1077.5,3896410000
1041.23999,1071.099976,1035.180054,1071.099976,6136700000
1030.709961,1048.079956,1028.329956,1040.560059,5067080000
1027.369995,1033.579956,1010.909973,1031.099976,6435770000
1022.580017,1032.949951,1015.929993,1027.650024,3968500000
1028.060059,1042.5,1018.349976,1028.089966,4691240000
1060.27002,1060.890015,1028.540039,1028.540039,4931220000
1070.25,1071.25,1058.23999,1062.920044,4548460000
1077.959961,1078.160034,1068.099976,1070.5,3506570000
1078.75,1080.780029,1070.449951,1077.22998,3426990000
1095.339966,1099.459961,1080.650024,1080.650024,4640460000
1095.170044,1099.079956,1087.680054,1095.609985,4521050000
1096.47998,1098.660034,1080.530029,1094.459961,4552470000
1064.880005,1093.849976,1063.319946,1093.849976,5297350000
1071.25,1074.699951,1061.109985,1066.849976,4089500000
1083.47998,1083.939941,1056.880005,1064.530029,4713280000
1069.589966,1088.959961,1065.25,1086.670044,4747180000
1093.670044,1097.5,1072.140015,1072.140015,4826900000
1102.660034,1103.72998,1087.880005,1092.170044,4524570000
1115.01001,1115.01001,1101.300049,1102.890015,4009650000
1113.839966,1120.949951,1109.780029,1117.359985,4725690000
1106.130005,1114.660034,1103.109985,1112.839966,4002390000
1101.530029,1115.900024,1092.819946,1108.069946,4612420000
1101.599976,1106.439941,1088.01001,1098.439941,4006450000
1125.859985,1127.300049,1107.530029,1107.530029,4144180000
1120.459961,1125.439941,1116.76001,1125.339966,4071820000
1127.23999,1128.75,1119.459961,1121.060059,4057850000
1125.810059,1126.560059,1118.810059,1125.780029,3685560000
1121.640015,1123.060059,1107.170044,1122.069946,3857890000
1127.790039,1129.23999,1120.910034,1122.800049,3979360000
1121.060059,1127.160034,1111.579956,1122.920044,3979360000
1089.469971,1116.890015,1088.550049,1116.890015,4511860000
1083.609985,1086.719971,1076.689941,1081.47998,4521050000
1079.25,1086.25,1079,1082.219971,3328890000
1079.380005,1082.619995,1069.48999,1077.48999,3142450000
1092.540039,1100.140015,1081.160034,1081.160034,3968210000
1094.160034,1099.77002,1085.76001,1092.079956,3724260000
1075.630005,1092.439941,1070.660034,1092.439941,4290540000
1071.689941,1075.630005,1063.910034,1075.630005,3761570000
1067.359985,1081.579956,1067.079956,1073.359985,3210950000
1051.869995,1063.199951,1046.680054,1063.199951,4436330000
1055.329956,1059.380005,1039.829956,1048.97998,4360190000
1047.219971,1061.449951,1045.400024,1056.280029,3646710000
1064.589966,1065.209961,1039.699951,1049.27002,4102460000
1048.920044,1064.400024,1048.790039,1062.900024,2917990000
1049.329956,1055.140015,1040.880005,1046.880005,4038770000
1080.290039,1081.300049,1049.719971,1049.719971,4396880000
1090.099976,1090.099976,1080.390015,1080.660034,3704210000
1104.51001,1105.099976,1093.609985,1093.609985,3534500000
1091.839966,1102.599976,1091.150024,1102.599976,3107380000
1098.869995,1103.26001,1092.359985,1092.359985,3224640000
1104.180054,1110.27002,1101.150024,1101.150024,3387770000
1109.550049,1110.880005,1103.920044,1104.569946,3061160000
1121.900024,1123.869995,1113.380005,1113.380005,4521050000
1121.099976,1127.359985,1115.579956,1121.160034,4521050000
1125.069946,1126.459961,1114.630005,1119.430054,3369840000
1124.660034,1125.439941,1118.880005,1123.890015,3364080000
1125.589966,1131.469971,1122.430054,1126.390015,4086140000
1142.709961,1144.859985,1126.569946,1126.569946,3364080000
1139.780029,1148.589966,1136.219971,1142.819946,4175660000
1134.280029,1144.380005,1131.579956,1139.48999,3911070000
1124.829956,1136.77002,1122.790039,1131.099976,3847850000
1148.670044,1148.900024,1131.689941,1131.689941,4123950000
1142.160034,1149.920044,1142,1148.640015,3587860000
1147.699951,1150,1132.089966,1142.310059,4025840000
1144.72998,1148.630005,1140.26001,1146.75,3990280000
1141.199951,1157.160034,1136.079956,1145.969971,4284160000
1146.23999,1150.300049,1139.420044,1143.48999,4298910000
1137.030029,1148.160034,1131.869995,1144.959961,3604110000
1160.75,1162.76001,1140.680054,1140.680054,4068840000
1159.969971,1162.329956,1154.849976,1159.810059,4073160000
1158.060059,1163.869995,1151.410034,1161.569946,3910550000
1165.150024,1167.72998,1155.579956,1158.359985,3871420000
1165.319946,1168.680054,1162.02002,1165.319946,2505900000
1169.77002,1172.579956,1155.709961,1164.280029,4076170000
1178.099976,1184.380005,1171.319946,1171.319946,4969410000
1173.810059,1178.890015,1166.709961,1177.819946,4969410000
1176.189941,1181.199951,1167.119995,1177.469971,5724910000
1184.709961,1185.530029,1174.550049,1176.829956,4450050000
1165.900024,1178.640015,1159.709961,1178.640015,5600120000
1178.170044,1182.939941,1166.73999,1166.73999,5027880000
1180.26001,1189.430054,1171.170044,1179.819946,4625470000
1183.079956,1183.930054,1178.98999,1180.52002,3177890000
1185.619995,1196.140015,1184.73999,1184.73999,4221380000
1185.640015,1187.109985,1177.719971,1184.880005,4203680000
1182.449951,1183.839966,1171.699951,1183.839966,4335670000
1183.780029,1189.530029,1177.099976,1184.469971,4283460000
1183.26001,1185.459961,1179.699951,1183.869995,3537880000
1184.380005,1195.810059,1177.650024,1185.709961,4129180000
1193.569946,1195.880005,1187.859985,1187.859985,3866200000
1197.959961,1198.300049,1183.560059,1193.790039,4665480000
1221.060059,1221.25,1198.339966,1198.339966,5695470000
1225.849976,1227.079956,1220.290039,1221.199951,5637460000
1223.25,1224.569946,1217.550049,1223.23999,3937230000
1213.400024,1226.839966,1208.939941,1223.589966,4848040000
1218.709961,1218.75,1204.329956,1213.140015,4561300000
1213.540039,1215.449951,1204.48999,1213.040039,3931120000
1199.209961,1210.5,1194.079956,1209.069946,4213620000
1197.75,1207.430054,1197.150024,1200.439941,3503370000
1178.339966,1194.790039,1173,1194.790039,5116380000
1178.589966,1183.560059,1175.819946,1178.329956,3904780000
1196.689941,1200.290039,1183.75,1183.75,4687260000
1199.72998,1199.969971,1189.439941,1196.119995,3675390000
1197.839966,1198.939941,1184.579956,1198.069946,3689500000
1180.72998,1192.51001,1176.910034,1192.51001,4133070000
1198.349976,1198.619995,1183.699951,1183.699951,3384250000
1189.400024,1194.160034,1186.930054,1194.160034,1613820000
