#{"t_start": 1749105960.242289, "env_id": "None"}
r,l,t
43601.121399,2007,3.895853
47173.406921,2007,6.811022
17113.060791,2007,9.755762
20786.150635,2007,12.759336
49223.289856,2007,17.421272
49223.289856,2007,19.115934
49223.289856,2007,20.814547
49223.289856,2007,22.514737
49223.289856,2007,24.187164
