#{"t_start": 1749199079.4258046, "env_id": "None"}
r,l,t
36737.30127,2007,28.989137
16877.059326,2007,39.098171
42242.580322,2007,49.139684
16087.499146,2007,59.052863
15971.039429,2007,73.957959
15971.039429,2007,79.209438
15971.039429,2007,84.336375
15971.039429,2007,89.388438
15971.039429,2007,94.433027
