#{"t_start": 1749131563.5424216, "env_id": "None"}
r,l,t
36737.30127,2007,3.604584
16877.059326,2007,6.228693
42242.580322,2007,8.882677
16087.499146,2007,11.560581
15971.039429,2007,15.551962
15971.039429,2007,16.929248
15971.039429,2007,18.291988
15971.039429,2007,19.648456
15971.039429,2007,21.050823
